#[[Fit Statistics]]
#    # function evals   = 31
#    # data points      = 494
#    # variables        = 6
#    chi-square         = 667.388
#    reduced chi-square = 1.368
#    Akaike info crit   = 160.613
#    Bayesian info crit = 185.828
#[[Variables]]
#    R:           62.5306 (fixed)
#    dshell:      18.3000000 +/- 0.068788 (0.38%) (init= 18.54)
#    SLDcore:     6.069e-06 (fixed)
#    SLDshell:    2.7840e-06 +/- 1.75e-08 (0.63%) (init= 2.768e-06)
#    SLDmatrix:   5.664e-06 (fixed)
#    sigR:        0.0942 (fixed)
#    sigdshell:   0 (fixed)
#    dth_sa:      0.00115702 +/- 5.73e-05 (4.95%) (init= 0.001155)
#    dth_la:      0.00159000 +/- 2.06e-05 (1.30%) (init= 0.001585)
#    i0:          0.61800000 +/- 0.007852 (1.27%) (init= 0.59)
#    bg:          0.01638000 +/- 0.000157 (0.96%) (init= 0.01458)
#[[Correlations]] (unreported correlations are <  0.100)
#    C(SLDshell, i0)              =  0.724 
#    C(SLDshell, dth_la)          =  0.624 
#    C(i0, bg)                    = -0.463 
#    C(dshell, SLDshell)          =  0.456 
#    C(dshell, bg)                =  0.446 
#    C(dth_la, i0)                =  0.370 
#    C(dshell, dth_la)            =  0.361 
#    C(SLDshell, dth_sa)          =  0.306 
#    C(dshell, i0)                = -0.279 
#    C(dth_sa, dth_la)            =  0.242 
#    C(dshell, dth_sa)            =  0.202 
#    C(dth_sa, i0)                =  0.159 #q / A-1 	 I / cm-1 	 sI / cm-1 	 Imodel / cm-1
0.157367	0.0357310186666	0.00213315151992	0.0335714864312
0.158458	0.0373519009068	0.00205275644853	0.0328367063284
0.159442	0.0354001368982	0.00203264908412	0.032177814297
0.160509	0.0347761122798	0.00214394880495	0.0314769193133
0.161582	0.0303324621139	0.00193620422677	0.0307929288312
0.162607	0.0356260546138	0.00214962253754	0.0301652961271
0.163686	0.0333345543754	0.00206519567739	0.0295372004695
0.164681	0.0315183581894	0.00199064626987	0.028991464877
0.165739	0.0331826530804	0.00221685626865	0.0284501826737
0.166789	0.0296477457499	0.0019387402133	0.0279543070958
0.1678	0.0317845937925	0.00212725427666	0.0275169136854
0.168901	0.030884361556	0.00203290698105	0.0270858037555
0.169901	0.0299466482982	0.00195908828152	0.0267343233977
0.170975	0.02810285714	0.00216922270464	0.0263979757379
0.172033	0.0288660601381	0.00191438614602	0.0261059283199
0.173011	0.0280390706313	0.00220553459317	0.0258682871401
0.174127	0.0292064840931	0.00191692213255	0.0256325411083
0.175145	0.0259415948542	0.00198676062271	0.0254464212305
0.17622	0.0296440492271	0.00208872447448	0.0252761288797
0.17726	0.0264186182193	0.00195778160372	0.0251330513687
0.17826	0.0253285738383	0.00203439418672	0.0250121916859
0.179371	0.022913712899	0.00202179162313	0.0248932331993
0.180341	0.0251863006955	0.00192165024304	0.0247989832661
0.181415	0.0251243194653	0.00210448197724	0.0247019781866
0.182476	0.0265082803873	0.00189132156341	0.0246102439444
0.183483	0.0266981784975	0.00201223224338	0.0245242301462
0.184607	0.0282955061509	0.00194193813531	0.0244267108087
0.185588	0.0252574802497	0.00185722758853	0.0243381562656
0.186651	0.0238500507065	0.00208808832871	0.0242370979723
0.187715	0.0246879578502	0.00173077212444	0.024129024898
0.188751	0.0207399855946	0.00199757510088	0.0240161817513
0.189863	0.0230064698302	0.00181924796648	0.0238860633232
0.190825	0.022454570388	0.00187062103605	0.0237654651078
0.191884	0.0234227154842	0.00194376920355	0.0236245977017
0.192925	0.0246497031381	0.00171899483105	0.0234777133813
0.193956	0.02206110563	0.00191347491018	0.0233247917666
0.195091	0.0210545338903	0.00159403516919	0.0231488438749
0.196028	0.0242736034404	0.00163210075689	0.0229976873699
0.197092	0.0234810861573	0.00173554321775	0.022821811756
0.198148	0.0223589765906	0.00143021903571	0.0226433462099
0.199183	0.0230279612415	0.00158442421006	0.0224656200269
0.200285	0.0223282008896	0.00155461992087	0.0222750191628
0.201269	0.0224730530017	0.00140708568058	0.0221044170241
0.202316	0.0214675128499	0.00159939082889	0.021923793963
0.203386	0.0221447502027	0.0013647304072	0.0217414118762
0.204423	0.0219171131743	0.00143219624555	0.021567428077
0.205518	0.0243715183103	0.00143150852038	0.0213879482942
0.206564	0.0237143109527	0.00133692052097	0.0212215690565
0.207582	0.0225940066645	0.00149251833878	0.0210642634246
0.208588	0.0198059688595	0.00132963923083	0.0209142938023
0.209669	0.0204385040769	0.00135652068808	0.0207599116472
0.210714	0.0203739438773	0.00133733315607	0.0206169697575
0.211748	0.0224035067948	0.00137385136215	0.0204822685068
0.212812	0.0211521048976	0.00126812221512	0.0203503662635
0.21384	0.0203394716536	0.00134766622662	0.0202294329945
0.21491	0.0217237764382	0.00134441672524	0.0201103719404
0.215928	0.021281397228	0.00125041329221	0.0200027977578
0.216954	0.0207190099771	0.00137567383383	0.019900238817
0.218039	0.0202556551495	0.0012496653911	0.0197978608743
0.219057	0.0199678421694	0.00125127294866	0.0197066859074
